comentario,rotulo
"Ótimo curso pra dar as bases para programação, ao final do curso você sabe o suficiente pra poder estudar por conta própria e saber o que perguntar no stackoverflow.",POSITIVO
"Se é o seu primeiro contato com desenvolvimento, não acredito que saia do curso com plenas competências para produzir aplicações maiores",NEGATIVO
"O curso é bem completo, e aborda bem todas as ferramentas para o desenvolvimento WEB, estou bem satisfeito e super confiante    com a melhora das minhas habilidades com desenvolvimento back-end e front-end. Obrigado !!!",POSITIVO
"Gosto muito da didática do professor, pra quem é novo na area o curso aprofunda em várias tecnologias.",POSITIVO
Uma pequena observação é que senti um pouco de falta de projetos com integrações com backend e banco.,NEUTRO
O conteúdo do curso e a didática do professor são excelentes! Parabéns pela dedicação para desenvolver um curso tão rico quanto esse!,POSITIVO
"Os pontos positivos: Aborda muito bem teorias e conhecimentos sobre html, CSS, java Script, bootstrap e outras questões sobre desevolvimento front End.",POSITIVO
"Os pontos negativos: O curso aborda uma infinidade de assuntos 'picados' e abordados de maneira muito parcial, realmente não acho que vale a pena deixar tanto conteúdo neste curso. Acho que o curso agrega valor apenas pelos conhecimentos html, css, javascript e outros do front end, depois disso o ideal é procurar outros cursos que falam especificamente do assunto, porém abordando de maneira mais completa desde o básico sobre o assunto.",NEGATIVO
"Tenho 57 anos e sou programador desde 1986. Desenvolvi programas em Cobol, RPG-II, Basic, DBase, Clipper e Visual Basic. Devido a grande quantidade de clientes que conquistei parei no tempo e não consegui mais me atualizar. Com a pandemia não pude mais continuar usando a desculpa da falta de tempo e tive de encarar o desafio. Por sorte descobri o curso 'Web Moderno' que me transportou do mundo desktop para o mundo Web rapidamente e não de forma trivial, mas abrangendo todos os aspectos e as reais necessidades que encontramos nos projetos que nos são contratados. Quero parabenizar a toda a equipe do curso e principalmente ao Leonardo Leitão, que não só nos ensina com maestria mas também nos motiva e alerta para as dificuldades existentes no mundo corporativo. Pensei em desistir do curso várias vezes achando que não conseguiria assimilar tanta coisa e só não o fiz pela didática perfeita do professor. Obrigado Mestre!",POSITIVO
"Excelente conteúdo! Super recomendo este curso, o instrutor aborda de forma clara e objetiva citando vários exemplos.",POSITIVO
"O curso é ótimo e o professor é excelente. Vou recomendar e farei outros cursos dessa empresa! Como esperado, apresenta uma série de tecnologias e chega a um nível de detalhe incrível, permitindo uma boa base para o início do desenvolvimento de projetos e até de novos estudos.",POSITIVO
"Como sugestão, o curso pode ser mais objetivo e mais curto ao focar apenas nas partes mais utilizáveis das tecnologias, descartar explicações e exemplos de coisas que não serão utilizadas ou até que são má prática e trabalhar mais em exemplos reais.",NEGATIVO
Aprendi com facilidade mesmo sendo leigo nesta área.,POSITIVO
Um curso que te deixa praticamente pronto para desenvolver seus próprios projetos ou iniciar em uma empresa.,POSITIVO
Curso completo e muito bem detalhado. Os exemplos e exercícios são bastante interessantes e relevantes.,POSITIVO
O instrutor é muito didático e demonstra pleno domínio do conteúdo abordado.,POSITIVO
Sou programador de softwares para desktop e fiz o curso como atualização e reciclagem. Acredito que esse curso realmente me deu uma excelente base e expandiu muito meus horizontes.,POSITIVO
"O professor sabe muito. No entanto, achei o método de ensino muito dificultoso.",NEGATIVO
Os arquivos são abertos e os códigos são escritos sem qualquer comentário para revisão e compreensão. O aluno tem que se virar para tentar anotar a fala do professor.,NEGATIVO
"É difícil acompanhar a sequência de arquivos que são criados, as pastas e os códigos.",NEGATIVO
"Dou meus parabéns pelo conhecimento acumulado do professor, porém precisa ter mais técnica para passar o conhecimento. Talvez quem já tenha um conhecimento maior ache o curso muito bom. No meu caso, dou nota 3.",NEGATIVO
"O curso é muito bom, o professor tem uma excelente didática e faz você pensar para conseguir resolver os exercícios e desafios do curso. Eu não tinha conhecimento prévio sobre o assunto, então apesar de ser um curso bem completo, eu acredito que será necessário ir buscar mais informações antes de sair para o mercado de trabalho ou abrir o próprio negócio.",POSITIVO
"Acredito que para ficar ainda melhor o curso, precisa de um módulo de hospedagem do site, eu sei que tem um módulo com a hospedagem de uma aplicação em Vue, mas é somente do frontend.",NEUTRO
"No mais vocês estão de parabéns, e agora é concluir os demais cursos que adquiri da Cod3r inclusive para me aprimorar ainda mais.",POSITIVO
"Adorei o curso, vou adquirir mais experiências e pretendo fazer novamente para fixar melhor os conceitos",POSITIVO
"O curso é excepcional, realmente muito completo, com um ótimo suporte ao aluno e atualizações constantes para manter o conteúdo com o máximo de compatibilidade, além de estarem sempre adicionando novos capítulos. Só tenho a elogiar a ótima didática do professor Leonardo, que tornou meu aprendizado muito mais fácil. Foram os 30 reais mais bem gastos da minha vida. Com certeza comprarei mais cursos da COD3R.",POSITIVO
"Ótimo, não recomendo para quem é extremamente iniciante em JAVASCRIPT, porém para quem já conhece os conceitos básicos da linguagem, este curso é um dos melhores da plataforma.",POSITIVO
"Muito além do que esperava, com uma explicação detalhada de cada conceito, dos fundamentos e filosofia da linguagem javascript, partindo para ferramentas e conceitos Web importantes e aplicações que crescem de dificuldade enquanto somos capacitados (com toda a calma do mundo) sem nem perceber. Além de se manter atualizado a acrescentar conteúdos atuais (mais recentemente foi acrescentado o módulo Angular disponibilizando ao todo os frameworks Angular, Vue e React). Meus conhecimentos em web eram bem limitados e resolvi comprar para me capacitar, e foi uma das melhores decisões que tomei. Com certeza é um material que servirá sempre de referência pra mim. O cuidado com a qualidade do material e o aprendizado dos alunos é sensacional. Sou muito grata à equipe cod3r por esse curso incrível!",POSITIVO
Parabéns ao Leonardo e sua equipe. Quero também agradecer.. este é um curso que tem tudo pra ajudar a mim e a todos a terem uma vida melhor ... Experiência Incrivel!!! Muito Obrigado !!!,POSITIVO
"Sou um dinossáuro da época do Cobol, este curso é muito bem estruturado e agora ja tenho uma base completa para Desenvolvimento Web!!!",POSITIVO
"O curso abrange uma porção enorme sobre os conteúdos de web, preparando seus alunos para o desenvolvimento de aplicações web. O professor com uma excelente didática, tornando a experiência do curso dinâmica e atrativa. Até o momento recomendo bastante!",POSITIVO
"Gostei da abordagem do curso. Amei muito o conteúdo sobre 'DOM', onde foi ensinado, inclusive, a fazer uma simples versão do famoso game 'Flappy Bird'! :D Conheci, também, REcursos na ferramenta 'VS Code' que facilitam a escrita e depuração de código, não apenas em JavaScript, mas também em outras linguagens como C, Java, PHP e várias outras. Gostei também de fazer os exerícios do projeto final (backend e frontend) utilizando, principalmente, Bootstrap e VueJS. Enfim, foi um curso que adicionou mais conhecimento e só tenho a agradecer aos professores da 'Cod3r Cursos' pela oportunidade. Espero vê-los numa próxima!",POSITIVO
"Este curso está bem completo e foi muito bom. Apesar de já saber muito de programação o curso me mostrou algumas particularidades que não pensei, pois sempre podemos aprender algo novo. Parabéns Leonardo Moura",POSITIVO
O instrutor tem um dom. Transmite os conhecimentos de forma exemplar e faz-nos querer continuar a assistir. Muitos parabéns,POSITIVO
Excelente! Legal! É bem claro e técnico o curso. Está acima da expectativa. Prestando atenção é acertar de primeira. Depois é só refazer os exemplos para fixar os conceitos.,POSITIVO
Aulas pequenas e com pouco conteudo. Flui melhor e dá pra pegar um café e saber onde eu me encontro nas aulas. Desta forma sabemos onde procurar quando precisar no futuro. Ficaria dificil buscar numa barra de progresso de um video com mais de 1h de duração. A ideia de utilização do VS Code foi boa.,POSITIVO
"(1) Explicar um pouco mais conteudos avançados ou dizer que serão explicados no futuro ou dar uma visão geral do que será explicado. Como assim? Exemplo: Nos exercícios da parte de Ajax: fetch, Axios fiquei perdido no início tentando entender onde queria se chegar, eu tive que assistir umas 5x cada video para chegar na conclusao que cada um trazia um modelo.",NEUTRO
(2) Não há necessidade de exibir sempre o quadro do rosto do locutor. Tem horas que eu dou pause para dar print screen e atrapalha o codigo.,NEUTRO
(3) Algumas vezes é esquecido que existem usuários do windows e os comandos utilizados são do Linux.,NEUTRO
"(4) Pode ser mais detalhista e minucioso até metdade do curso, existem muitos iniciantes que vieram pra cá pegar seu curso pois pegaram depressão ao assistir cursos avançados da r***at e da al***ks entendendo que não serão capazes de voltar pro mercado pois as aulas deles mais assustam que ensinam.",NEUTRO
"Estou cada vez mais confortável de como as coisas funcionam nas Web app. Além de melhorar a minha capacidade de code, estou identificando o uso de cada arquivo na app.",POSITIVO
"Curso muito bem elaborado, video, audio, estruturação das aulas, didática do professor, enfim, nem terminei mas estou aprendendo bastante eu recomendo caso ainda esteja em dúvida!",POSITIVO
Comprei este curso entre ter acabado a faculdade e começado a trabalhar como Web Developer. Desde que comecei a trabalhar muitos dos recursos que aprendi aqui estou a usar todos os dias.,POSITIVO
"Sempre profissional, conhecedor e atualizado o Leonardo faz com que este curso seja uma enorme mais valia.",POSITIVO
"Muito interessante as didáticas, vale muito a pena, um curso muito completo. Está sendo meu primeiro contato com a tecnologia web então está sendo importante praticar muito e ver muitos conteúdos de fora do curso, mas o curso é muito completo, algumas exemplos de difícil entendimento mas nada que com o decorrer do curso se esclareça.",POSITIVO
"Excelente curso, aborda vários temas relevantes para o desenvolvimento de aplicações modernas.",POSITIVO
"Curso incrível, abrange os principais conceitos de web para qualificar um profissional!",POSITIVO
"Esse definitivamente foi um dos melhores investimentos que já fiz . Curso foi muito acima das minhas expectativas , aprendi muita coisa útil de forma clara e precisa . Professor está de parabéns pela grande iniciativa que vai ajudar muitos programadores novatos como eu . Com todo esse conteúdo o aluno já tem uma grande base para construir seus sistemas e conseguir entrar no grande mercado de TI . Muito obrigado Professor Leonardo Moura !",POSITIVO
"Curso extremamente completo, tanto para quem está iniciando com Javascript, quanto para programadores já mais experientes. Aulas muito didáticas e explicações muito bem detalhadas. Parabéns, indico muito! :)",POSITIVO
Para quem tem tempo e vontade de aprender o curso é sensacional. O instrutor se preocupa em explicar os conceitos fundamentais que estao por trás de cada tópico que é abordado no curso.,POSITIVO
Muito bem explicado.... Meus parabéns por tudo e muito obrigado pelo o aprendizado!,POSITIVO
O curso é uma excelente oportunidade para quem quer entrar no mundo do desenvolvimento Web.,POSITIVO
"O curso abrange muita coisa em termos de tecnologias web, algumas coisas estão defasadas, vi inclusive que no passar do ano o nome do curso mudou para 2020, porém o conteúdo não mudou. Várias você tem que parar a aula e buscar como se aplica as funções da forma nova, por que as ensinadas no curso não funciona mais, o motivo principal que ter buscado o curso foi JavaScript, que está no modo no iniciante. Já a aplicação da base de conhecimento, foi legal, porém tudo foi de modo facilitar o desenvolvimento, como se faz sem o auxilio as bibliotecas e frameworks, não deu a minima ideia de como se faz.",NEGATIVO
"A única coisa que poderia melhorar sao os exercicios. Além serem poucos, os exercicios que tem nao sao muito aplicaveis na prática.",NEGATIVO
"Curso não é feito para iniciantes, até quem tem base fica confuso e você consegue confirmar isso nos comentários.",NEGATIVO
"O curso é muito bom. Faço uma ressalva em relação aos projetos, acho que eles deverão ter sidos desenvolvidos ao fim de cada módulo.",NEGATIVO
"A qualidade do curso é realmente muito boa, porém existe uma certa sobrecarga de informação em alguns pontos, isso faz com que procuremos por fontes esternas, não é algo ruim nesse sentido mas diminui bastante o ritmo de aprendizado do que realmente importa pra um iniciante.",NEGATIVO
"Só não foram 5 estrelas, pois alguns assuntos poderiam ter vindo antes de outros, para facilitar o entendimento, recomendária trocar a ordem de alguns assuntos específicos. Porém é tudo muito bem explicado, da para entender o material muito perfeitamente",POSITIVO
"didática boa, para iniciantes do zero talvez não seja o melhor, precisa ter noções, mas no geral é bom.",POSITIVO
"Aulas Incríveis,, Aprendi muito,,,,",POSITIVO
"Pros: Conteúdo muito rico, professor simpático e ajudantes eficientes nas duvidas",POSITIVO
"Muito bom curso, recomendo para quem quer aprender javascript de verdade",POSITIVO
"Contras: A didática principalmente na sessão javascript é muito falha, pra explicar um método usa-se 5 não explicados, siento que muitas vezes esta mais sendo demonstrado do que realmente explicado. Sem o google e youtube do lado eu não teria aprendido. Foi muitas vezes frustrante...",NEGATIVO
"O curso é perfeito, sou graduando em engenharia civil, e iniciei o curso com pouquíssimo conhecimento da área. No momento graças a base apresentada aqui pude evoluir e iniciar meus próprios projetos, avançando até react native sem dificuldades. E posso afirmar que a base construída com o Leonardo foi de fundamental importância para ingressar nesta nova área.",POSITIVO
O instrutor tem o conhecimento que se propõe a ministrar e a didática adequada para se fazer entender.,POSITIVO
"Professor quero especialmente te agradecer por todo o curso. Graças a vc consegui entender coisas que jamais imaginaria, JS e CSS mudaram pra mim. Hoje eu consigo desenvolver aplicações muito mais consistentes e legiveis, sabendo o que estou fazendo graças a este curso",POSITIVO
"O desenho do curso também é adequado para construir o conhecimento etapa por etapa, a quem se interessar.",POSITIVO
Conteúdo do curso muito bem explicado e com exercícios bem administrados. Parabéns e Sucesso...,POSITIVO
Parabéns pela proposta e execução.,POSITIVO
"Muito bom!!! Abrangente, boa didática e com bastante exemplos práticos.",POSITIVO
"Curso muito bom, aprendi muito nesse curso. Já consigo desenvolver aplicações do zero.",POSITIVO
Ótimo curso! Eu não conhecia absolutamente nada de desenvolvimento WEB e agora me sinto muito seguro para desenvolver um sistema WEB qualquer!,POSITIVO
"Gostei da explicação inicial, seguirei em frente, rumo aos próximos tópicos.",POSITIVO
"As vezes acho meio confusa a explicação do professor. O curso é muito longo, por vezes desmotivando continuar. Mas tem bastante conteúdo e me parece ser bem completo. Ainda não cheguei no final.",NEGATIVO
"Curso ruim de mais o professor primeiro coloca o codigo e depois explica, no projeto de node js ele nem explicou oque é uma API e do nada coloca a gente pra criar uma, além disso o curso nem tem tem tecnologias como firebase, socket.io, sass/less... etc. CURSO RUIM D+",NEGATIVO
"Espero aprender muita coisa nova, para adicionar mais conhecimento ao currículo.",POSITIVO
"Sem palavras para descrever esse curso, é muito conteúdo bom no mesmo lugar, pra quem ta iniciando como eu estou e não sabe por onde começar essa é uma ótima forma !!!!",POSITIVO
"Incrível é muita coisa, estou gostando, sairei daqui um profissional de mãos cheias.",POSITIVO
"Muito completo o curso, faltou uma abordagem um pouco maior de angular, que foi o motivo ter adquirido o curso, por motivo comparação faltou ter implementado a calculadora, que foi desenvolvida em react e vue js.",NEGATIVO
O Curso superou minhas expectativas. Prefessor conhece do assunto e sabe explicar.,POSITIVO
"Estou na parte final do curso e afirmo que ele aumentou muito meu desempenho com programação e deu uma visão vasta sobre o desenvolvimento web. O curso é muito bem organizado, e existe uma preocupação muito grande para que o aluno consiga absorver os conteúdos, professor excelente na didática. Realmente curso muito bom!",POSITIVO
Muito bom. Professor explica muito bem.,POSITIVO
"Foi uma experiencia ótima, parabéns aos responsáveis pelo curso, muito obrigado!!",POSITIVO
"Por enquanto didática excelente, muito bom professor, aulas bem explicadas e exercícios interessantes, a cada aula me sinto mais envolvido pelo assunto.",POSITIVO
"Estou gostando demais do curso, superou as minhas expectativas. Apesar de já ser um veterano, acabei aprendendo muitas coisas novas em assuntos fundamentais. Espero que até o final continue assim.. rs",POSITIVO
"Muito bom, abrange muitos conteúdos importantes",POSITIVO
Treinamento bem amplo e completo! Temas que permitem um grande aprendizado! Recomendo.,POSITIVO
"Curso muito bom, com didática excelente. Codificação clara durante as aulas. Curso continua ser atualizado, como no caso do Gulp que recebeu aulas novas e nessa semana chegaram as aulas de Angular 9, aumentando o conteúdo coberto sem custos extras. Muito recomendado!",POSITIVO
"Curso com boa didática,acredito que tudo é um conjunto,para o bom aprendizado não basta o aluno ter empenho em aprender se a didática não for boa,assim como não basta a didática do curso ser boa ,se o aluno não tiver interesse em aprender de verdade...Parabéns pelo curso...",POSITIVO
"Excelente curso, bem didático. Estou voltando ao mercado e aprendendo bastante.",POSITIVO
"Até agora o curso foi incrível, a sequência foi perfeita para entender os conceitos e aplica-los. Professor está de parabéns!",POSITIVO
"Ainda estou no conceito, revisitando alguns videos por não parecer que ficou claro algumas coisas, como definir nomes de variaveis com apenas uma letra, de inicio isso me confundiu bastante, e pra mim dava entender que era necessario usar a letra pra funcionar, vendo outros cursos pela internet, entendi que as variaveis são definidas com nomes.",NEGATIVO
"Eu já possuia um leve conhecimento de html, javascript e css pois tive uma disciplina na faculdade, mas foi esse o meu contato com programação... Nesses tópicos pude aprender o que não sabia de forma mais fácil, mas em todos os outros tópicos estou tendo bastante dificuldade em acompanhar.",NEGATIVO
"Parece que do capitulo de Ajax em diante foi desprezada a ideia de que existem pessoas que nunca viram esse tipo de conteúdo na vida, e acaba servindo mais aos que já tem alguma familiaridade, como ocorreu comigo mesmo nos primeiros tópicos do curso.",NEGATIVO
"Eu agora passo a entender as críticas que alguns alunos fazem sobre os tópicos iniciais, pois atualmente sou um dos que estão boiando, como eles, nos demais tópicos.",NEGATIVO
"Nunca trabalhei com programação, não é a minha primeira escolha, muito menos a segunda, não me sinto confortável e estou buscando estudar pois não tenho alternativa para emprego hoje em dia se não trabalhar com isso. Cada barreira para quem não está entendendo é muito desmotivadora, o curso poderia manter um ritmo mais calmo e buscar fazer com que as informações sedimentem. Ter como solução a busca sozinho pelo google por respostas é mais frustrante ainda, pois a matéria em si já é desafiadora para quem não tem vivência na área.",NEGATIVO
